id;quotation_no;status;created_on;created_by;updated_on;updated_by;due_date;notes;purchase_order_id;vendor_id;document_id
1;Auto Loan Account;SQL multi-byte Tactics;2021-07-21T18:39:55;back up;2021-07-21T08:44:10;viral Money Market Account Borders;2021-07-21;clicks-and-mortar Way matrix;1;1;1
2;Savings Account Forge;contextually-based Berkshire Buckinghamshire;2021-07-21T06:47:28;transmitting Cedi Books;2021-07-21T21:58:37;Grocery;2021-07-21;system Internal;2;2;2
3;National Swaziland Engineer;Ramp Crossroad;2021-07-21T21:42:17;Grocery navigate HDD;2021-07-21T17:21:51;neural;2021-07-21;Corner hard drive;3;3;3
4;vortals Avon Table;e-business parse fault-tolerant;2021-07-21T19:26:45;deposit Officer;2021-07-21T12:09:45;time-frame COM global;2021-07-22;Utah Table Berkshire;4;4;4
5;Automotive niches Metal;port;2021-07-21T18:27:45;Gorgeous Junctions;2021-07-21T17:08:35;Incredible Money Market Account Profound;2021-07-21;Montana customized;5;5;5
6;Practical copying Refined Steel Pants;HDD Agent Extended;2021-07-22T05:04:23;Personal Loan Account Cross-group magenta;2021-07-21T16:43:17;hacking;2021-07-21;Cuba Home SMS;6;6;6
7;tertiary synthesize Faroe Islands;gold Sri Lanka Rupee;2021-07-21T15:19:31;Togo;2021-07-21T09:42:37;Licensed;2021-07-21;Baby Handmade SQL;7;7;7
8;synthesizing Utah;payment bifurcated Chips;2021-07-21T20:16:45;Cotton Belize model;2021-07-21T21:23:11;Gorgeous Frozen Shirt copying Refined;2021-07-22;Sports Dong;8;8;8
9;dot-com overriding;dot-com transmitting ivory;2021-07-22T05:26:38;Refined;2021-07-21T13:24:18;deposit;2021-07-21;Graphic Interface Fresh Grocery;9;9;9
10;middleware cross-platform SSL;Sudanese Pound;2021-07-22T02:23:48;cross-platform;2021-07-21T17:18:43;application Salad bus;2021-07-21;CFA Franc BCEAO;10;10;10
