id;created_on;created_by;updated_on;updated_by;status;progress_stage;item_description;order_quantity;price;priority;notes;due_date;requisition_line_item_id
1;2021-07-21T16:52:23;hacking;2021-07-21T15:48:16;Walk eyeballs;3rd generation SMS Spain;Cambridgeshire;virtual;48895;56851;Steel Slovakia (Slovak Republic);deliverables Cotton;2021-07-22;1
2;2021-07-21T21:08:46;SAS XSS Baby;2021-07-21T15:36:57;Ohio drive unleash;parse;SDD Mandatory;Pakistan Rupee Berkshire pink;20578;28101;Fords connecting Practical;Luxembourg Agent;2021-07-21;2
3;2021-07-21T20:17:33;olive Gloves;2021-07-21T10:09:00;Som;payment payment Avon;Quality indexing;Small;10535;71786;Roads;Open-architected Graphical User Interface holistic;2021-07-21;3
4;2021-07-21T11:34:10;Director Money Market Account Customer-focused;2021-07-22T03:11:29;incremental Personal Loan Account;synthesize orchid Small;circuit Home Loan Account;orchid;99109;17816;Car Sausages;Switchable Nuevo Sol Administrator;2021-07-21;4
5;2021-07-21T18:20:30;haptic payment;2021-07-21T08:06:24;zero defect Bedfordshire;Kids mobile Home Loan Account;matrix SAS deposit;Ergonomic action-items;99864;91110;Granite;payment Internal Chair;2021-07-22;5
6;2021-07-22T02:25:05;Reverse-engineered Nevada;2021-07-21T13:07:30;primary Response Silver;Fresh;Licensed;Causeway;29415;75450;hacking niches transmit;Health;2021-07-21;6
7;2021-07-21T07:14:10;drive systemic;2021-07-22T01:35:18;copy;Fiji Dollar;Fantastic Granite Tuna Hawaii;firewall;54005;20342;Regional;programming Practical mint green;2021-07-22;7
8;2021-07-22T02:32:44;North Carolina Games Money Market Account;2021-07-21T18:04:35;one-to-one;Loop;Future;connecting;25716;13731;Towels;copy;2021-07-21;8
9;2021-07-22T03:34:38;Configuration;2021-07-21T15:25:49;Plastic;bypassing;Guinea Franc New Hampshire eco-centric;cross-platform maroon asynchronous;58867;7970;Chair;Wisconsin;2021-07-21;9
10;2021-07-21T06:03:43;panel Concrete;2021-07-22T03:37:19;aggregate Hat mission-critical;Public-key Fantastic Metal Table;knowledge base Afghanistan;IB protocol;50275;47624;Graphical User Interface Money Market Account Cheese;holistic mesh Practical Concrete Shirt;2021-07-21;10
