id;status;created_on;created_by;updated_on;updated_by;rules_id;roles_id
1;Cambridgeshire;2021-10-11T06:22:06;generate;2021-10-11T06:53:01;collaboration Legacy;1;1
2;Baby HTTP Automotive;2021-10-10T19:46:14;Ergonomic bandwidth;2021-10-10T22:59:12;Unbranded Frozen Salad deliver;2;2
3;PNG;2021-10-11T10:46:11;haptic;2021-10-11T11:35:09;Refined microchip Forks;3;3
4;mobile;2021-10-11T05:20:06;white Multi-tiered;2021-10-11T01:19:43;Toys;4;4
5;synergy;2021-10-11T06:53:58;Games driver Orchestrator;2021-10-11T09:34:52;West Virginia;5;5
6;Polarised;2021-10-11T06:09:28;enable;2021-10-11T00:33:57;Shoes USB bandwidth;6;6
7;deposit Coordinator;2021-10-10T20:11:22;Unbranded Frozen Sausages;2021-10-10T19:20:33;digital Group;7;7
8;backing up Communications;2021-10-11T03:22:15;Cambridgeshire innovate;2021-10-10T17:57:53;COM Sports Division;8;8
9;Facilitator Toys TCP;2021-10-11T11:53:21;microchip Shores;2021-10-10T16:18:11;SCSI monitor;9;9
10;envisioneer Open-source;2021-10-11T04:12:39;Mandatory Savings Account Berkshire;2021-10-10T16:27:37;ROI digital e-business;10;10
