id;file_name;file_type;file_ext;file_size;storage_location;cloud_name;s_3_bucket;s_3_url;source_of_origin;created_on;created_by
1;Shirt Chicken;deposit;Metrics state;20882;Bacon;Music Guyana violet;Mississippi Connecticut AI;Direct;Intranet yellow;2021-10-13T10:41:17;South primary
2;Wooden leverage;Cheese;Account;77806;reboot Manager;Kwanza multi-byte Account;Dinar;protocol Business-focused;frame olive;2021-10-13T18:43:11;Web
3;Dynamic;Infrastructure;Borders PCI;19934;eco-centric;Oregon Borders;content-based Director circuit;Configuration channels;Account generating;2021-10-13T17:59:14;Gorgeous California payment
4;Configurable Rubber Assimilated;Missouri hardware;frictionless Liaison;45336;Loaf Assistant Computer;Senior Maine;Bosnia front-end;productize Gorgeous;deposit Accounts;2021-10-14T06:37:44;Accountability Land invoice
5;administration;User-friendly;Account Keyboard applications;97115;PNG Soft compressing;Berkshire intermediate;withdrawal Unbranded;Open-architected;Direct 24/365;2021-10-13T15:23:58;Account
6;Account Swaziland;Associate Music;Kids;70302;scale primary bleeding-edge;programming programming Valleys;program Table Jamaica;Rufiyaa;ADP enable open-source;2021-10-13T20:59:13;invoice revolutionary
7;Director Music;Music;Kwanza;5101;Tuna extensible;hacking Cotton Nauru;application experiences;Rustic Accounts Legacy;model Colombia discrete;2021-10-14T04:16:40;Cambridgeshire
8;lime;experiences New;disintermediate;12471;Practical;model;Shirt demand-driven;RAM;Legacy;2021-10-13T20:10:06;multi-byte silver
9;Supervisor;foreground Money;Handcrafted XML;27709;mobile Franc;Account Fresh users;Incredible;Flats;grey content-based;2021-10-14T02:39:19;(Keeling) Island Massachusetts
10;Up-sized Kiribati heuristic;Cotton Grocery Grocery;orange motivating;5054;models systematic Salad;Borders CSS;Falls functionalities;Accountability Team-oriented;teal pixel;2021-10-13T20:18:09;Beauty
