id;quotation_no;status;created_on;created_by;updated_on;updated_by;due_date;notes;quotation_id
1;composite Cambridgeshire;pixel;2021-07-21T07:32:05;Chief Luxembourg;2021-07-21T21:49:38;Hawaii South Dakota;2021-07-22;Facilitator;1
2;Beauty;Green;2021-07-21T11:10:50;Product;2021-07-21T07:51:36;Networked;2021-07-21;infrastructure Licensed Plastic Shirt quantify;2
3;Vermont;syndicate Brunei Darussalam value-added;2021-07-21T20:10:43;Arkansas SQL navigating;2021-07-22T05:32:52;Avon;2021-07-22;Ergonomic panel Applications;3
4;B2C fuchsia invoice;cross-platform hierarchy;2021-07-21T20:53:17;Industrial Expanded card;2021-07-21T18:49:21;invoice bottom-line Rustic Plastic Chips;2021-07-21;primary Gorgeous Wooden Car;4
5;Games Sleek Rubber Soap;port Shoal;2021-07-22T00:02:55;Realigned Global;2021-07-21T11:11:08;Trinidad and Tobago secondary;2021-07-21;Practical Concrete Soap;5
6;Marketing Games Avon;JBOD Pre-emptive EXE;2021-07-21T13:55:33;Checking Account Kiribati;2021-07-21T16:39:34;Triple-buffered Nebraska bypass;2021-07-22;Loaf;6
7;calculating;Morocco array cross-platform;2021-07-21T22:12:27;solution-oriented Buckinghamshire;2021-07-21T21:06:12;regional;2021-07-22;e-markets repurpose;7
8;Rand Loti;solutions Future-proofed;2021-07-21T17:52:12;holistic;2021-07-21T09:43:54;projection withdrawal RSS;2021-07-21;capacitor Manager;8
9;Lakes;HDD Configuration Central;2021-07-22T04:52:27;SQL;2021-07-22T04:36:54;rich Home Loan Account;2021-07-21;optical Unbranded;9
10;Rhode Island Towels;CFA Franc BCEAO Palestinian Territory;2021-07-21T22:20:47;Incredible array;2021-07-21T11:33:11;Tugrik;2021-07-21;National Tugrik Handcrafted;10
