id;code;country_name;country_code
1;architectures Frozen Virginia;wireless Soft primary;VE
2;neural invoice Orchestrator;Brand Handcrafted Granite Table;RS
3;ADP regional SDD;Savings Account Administrator Meadow;MM
4;olive compressing Home Loan Account;integrate Orchestrator;FK
5;Quality policy;user-facing Beauty Massachusetts;MP
6;Shoes;Cambridgeshire;GR
7;enable neural uniform;Generic Avon;ES
8;Salad;Human;UA
9;Extension Bedfordshire Computers;azure;GF
10;Research wireless;Reactive secured line;RO
