id;requisition_no;created_on;created_by;updated_on;updated_by;status;progress_stage;financial_year;type;total_price;notes;due_date;requisition_id
1;Oval Grocery;2021-07-21T09:18:42;IB interface;2021-07-21T06:33:30;Kyrgyz Republic;Designer Nevada haptic;withdrawal;85990;AI Sleek;1793;Buckinghamshire Multi-layered Home;2021-07-21;42945
2;Botswana silver;2021-07-21T19:38:32;solid state Intelligent;2021-07-21T18:36:40;projection Pizza Brazil;Colorado;withdrawal Rufiyaa;9994;Borders Wooden;7931;mobile Cape Verde black;2021-07-22;18245
3;Avon Chief South Dakota;2021-07-21T12:30:02;North Carolina Senior;2021-07-21T05:53:40;Brand Director;payment Incredible Metal Shoes;Auto Loan Account generate Togo;92344;Convertible Marks Practical Borders;89380;Awesome infrastructures Dynamic;2021-07-21;62553
4;Jewelery Berkshire Cambodia;2021-07-21T16:19:38;Rustic Jewelery integrate;2021-07-21T08:18:15;Unbranded Quality;Iowa red methodology;Functionality;32246;PCI;65141;ivory Practical Bedfordshire;2021-07-21;65796
5;intuitive violet Georgia;2021-07-22T05:09:32;compressing virtual;2021-07-21T18:30:38;Wooden back up;Internal Cambridgeshire product;silver Expressway;6518;payment;95194;Generic Beauty;2021-07-22;49335
6;Configuration Metal;2021-07-21T09:46:07;index Credit Card Account;2021-07-21T07:48:29;Tokelau Usability back up;Producer purple;Personal Loan Account;10546;Coordinator yellow metrics;10442;policy;2021-07-21;17054
7;even-keeled AGP;2021-07-21T23:51:10;Music Legacy deploy;2021-07-21T23:14:28;sexy backing up;HDD;bus bandwidth Concrete;75693;Cambridgeshire Beauty Cotton;31017;invoice Tennessee;2021-07-22;7560
8;Tasty Concrete Chicken National;2021-07-22T02:59:58;microchip networks next-generation;2021-07-22T04:46:05;Cross-group USB;Infrastructure;Lights Canadian Dollar Frozen;73577;indexing;15522;deposit haptic matrices;2021-07-22;12940
9;paradigms strategy;2021-07-21T22:19:28;Sausages Dynamic Consultant;2021-07-21T16:23:06;withdrawal Keyboard;whiteboard;Senior relationships Gorgeous Wooden Bike;44721;envisioneer Auto Loan Account;43128;Quality-focused Auto Loan Account;2021-07-21;32525
10;Global programming;2021-07-21T22:53:26;groupware International;2021-07-21T12:34:58;synthesize;Functionality Brunei Darussalam;interfaces invoice;15452;overriding SMTP connecting;41938;Saint Barthelemy;2021-07-21;88142
