id;invoice_no;amount;mode_of_payment;txn_ref_no;cheque_or_dd_no;issuer_bank;status;created_on;created_by;updated_on;updated_by;due_date;notes
1;Texas Concrete;29354;capability Loop Unbranded Frozen Towels;gold;Grove invoice Australia;reboot Rhode Island bypassing;national Marketing Consultant;2021-07-21T17:50:01;Gorgeous Soft Soap Virginia;2021-07-21T17:58:37;Soap Checking Account;2021-07-21;Indian Rupee Ngultrum
2;monitor;24198;1080p Engineer intuitive;Division Handcrafted;back-end Money Market Account Legacy;transmitting EXE parse;Gloves Jamaican Dollar;2021-07-21T12:47:19;Dynamic function;2021-07-21T07:47:25;Games HTTP Director;2021-07-22;Awesome
3;Integration structure;11254;customized Garden;Analyst matrix;SDD auxiliary Utah;analyzer Chips;transmitting interactive reintermediate;2021-07-22T00:53:48;Electronics Forward bypassing;2021-07-22T03:56:52;Customer;2021-07-22;Cotton Auto Loan Account
4;Toys;34085;Generic Wooden Hat end-to-end unleash;copying Handmade;Small Rubber Salad Oklahoma;Home Loan Account Handcrafted Steel Ball;tan Cambridgeshire Rubber;2021-07-21T11:13:04;navigate Home Loan Account Guinea-Bissau;2021-07-22T00:46:29;Bedfordshire deploy;2021-07-21;Credit Card Account
5;Assurance;74769;Arizona navigating navigating;synergies;payment Fantastic Fresh Soap;Response Concrete;Investment Account;2021-07-22T04:15:34;web-readiness matrix Sleek Granite Mouse;2021-07-21T21:08:32;value-added;2021-07-21;Cambodia
6;Pizza Data;52796;customer loyalty Tuna;HTTP Tools systems;Pizza;Mall deposit Credit Card Account;Massachusetts Automotive grey;2021-07-22T01:38:45;Money Market Account Optional;2021-07-21T08:50:51;Oklahoma Barbados Dollar Agent;2021-07-21;Handcrafted Rustic Wooden Computer
7;online;91218;silver Progressive;Lithuanian Litas;Centers;Sleek Concrete Cheese Cambridgeshire;sky blue Trail;2021-07-21T16:09:56;world-class Awesome input;2021-07-21T17:21:59;Implementation Credit Card Account;2021-07-22;Savings Account New Jersey Rustic
8;Principal attitude-oriented Tools;13166;Jewelery matrix;Health;Baby deposit;cyan Granite Dong;withdrawal;2021-07-22T01:14:19;rich;2021-07-21T20:15:20;program;2021-07-21;Money Market Account SDD e-business
9;Sleek Cotton Chips envisioneer digital;28504;empower Ranch Switchable;synthesize Soft;XSS Money Market Account;Avon executive;quantifying redefine;2021-07-21T22:18:42;product;2021-07-22T04:41:02;Stand-alone;2021-07-21;Direct
10;Proactive;44809;intranet payment SCSI;generating Tasty Cotton Bacon;Outdoors Central;South Carolina;invoice;2021-07-21T22:39:23;partnerships SQL;2021-07-21T23:27:25;Bedfordshire;2021-07-22;systems
