id;created_on;created_by;updated_on;updated_by;status;progress_stage;item_description;order_quantity;price;priority;notes;due_date;rate_per_item;requisition_id
1;2021-07-21T09:42:54;analyzing Central;2021-07-22T03:10:09;Practical Rubber Fish navigating;Movies Consultant Global;New Jersey Direct;Small Granite Salad Berkshire;94111;32774;white Buckinghamshire Tasty Concrete Hat;calculating pixel Investment Account;2021-07-21;35154;1
2;2021-07-21T14:43:49;Hong Kong Dollar South Carolina;2021-07-21T15:00:35;Consultant;Generic Small Wooden Gloves next generation;Internal;Prairie pink Baby;11465;52573;Regional Kwanza Paradigm;Synergistic hybrid;2021-07-22;50365;2
3;2021-07-22T04:24:44;Concrete;2021-07-21T21:14:24;Object-based compress;concept Salad;Money Market Account Engineer;XML Bedfordshire Awesome;55428;37266;Home Loan Account;Rubber Granite;2021-07-21;48548;3
4;2021-07-21T20:24:29;Fantastic Frozen Car Intelligent Cotton Towels;2021-07-21T14:09:48;forecast Soft;invoice;deposit Small Fresh Chair feed;bypassing Assistant;67659;73277;Pa'anga;Fantastic Metal Shirt Vermont Plastic;2021-07-22;13641;4
5;2021-07-22T01:43:32;Administrator purple;2021-07-21T19:53:07;Re-engineered Managed Multi-layered;Intelligent Metal Table Investor intuitive;Brand leading-edge networks;mobile evolve recontextualize;49332;47149;Oklahoma;Fish;2021-07-21;50331;5
6;2021-07-22T03:11:15;connect cyan backing up;2021-07-22T00:57:23;monetize brand;Gorgeous Metal Shoes purple;HTTP Estates;Stream Tasty Frozen Chair Metal;92323;54216;Equatorial Guinea vortals;Washington;2021-07-21;78957;6
7;2021-07-21T05:58:08;program neutral Iceland;2021-07-22T00:52:47;Sleek Concrete Towels;invoice;Books Developer deliverables;matrix RSS implementation;81341;56014;engineer disintermediate District;Cambridgeshire Home Loan Account;2021-07-21;60700;7
8;2021-07-21T15:53:18;index;2021-07-21T11:24:17;Rustic Fresh Chair Thailand;neural deposit;Ball;teal reboot;72996;79431;Club orchid Tasty;payment Intelligent Manager;2021-07-21;93324;8
9;2021-07-22T02:48:50;Officer Wooden;2021-07-21T18:35:43;help-desk THX;green Viaduct;deploy;aggregate;41897;81554;panel infrastructure;haptic;2021-07-21;73477;9
10;2021-07-21T09:20:29;transmitter scale;2021-07-22T02:46:22;system Intelligent;United States of America;Lights e-markets;RAM action-items withdrawal;47329;78764;International web services;Credit Card Account access;2021-07-21;88344;10
