id;invoice_no;amount;mode_of_payment;txn_ref_no;cheque_or_dd_no;issuer_bank;status;created_on;created_by;updated_on;updated_by;due_date;notes;invoice_id
1;reboot;28082;impactful lime Table;quantify efficient;Mobility Shirt Savings Account;Producer Ergonomic;card parsing Buckinghamshire;2021-07-21T09:58:55;Factors visualize red;2021-07-21T15:44:54;Serbian Dinar grow;2021-07-21;Soft productize;1
2;synthesize;28321;magenta networks;Hawaii;invoice Executive;Architect Strategist;synthesize;2021-07-21T20:21:09;Licensed;2021-07-22T01:51:56;reboot scale;2021-07-21;Associate;2
3;Gloves Tuna;39770;Table;XSS;Iowa synthesizing withdrawal;Fantastic Rubber Keyboard Forward Savings Account;black Generic Concrete Car e-business;2021-07-21T23:13:02;structure TCP;2021-07-21T09:50:25;Assistant;2021-07-21;Cordoba Oro;3
4;Stand-alone Colorado Borders;12859;explicit Reduced functionalities;navigating Facilitator;Via Kwacha;salmon Jordan;Avon copying;2021-07-21T22:44:30;6th generation;2021-07-21T14:20:25;Saint Barthelemy;2021-07-22;Forward budgetary management;4
5;Cameroon holistic;58457;USB HTTP transmit;Sleek Bedfordshire;Wooden human-resource bus;program;Manager parse;2021-07-21T21:47:25;Dynamic efficient;2021-07-21T21:18:30;Streamlined CFA Franc BEAC multi-byte;2021-07-21;wireless Borders Accounts;5
6;Texas;43215;input Station;Industrial;Steel;Kiribati;compress;2021-07-22T01:48:05;protocol;2021-07-21T18:33:02;intangible Avon Tactics;2021-07-21;User-centric Cross-platform Cambridgeshire;6
7;synergistic plug-and-play Virtual;49698;optimizing Tunisia Nevada;Secured;Ergonomic Concrete Keyboard Health;didactic Chief;vortals Granite Integration;2021-07-21T17:20:29;Russian Ruble;2021-07-22T00:14:26;facilitate protocol productivity;2021-07-21;Cotton Investment Account;8
8;synthesizing Persistent;7065;facilitate;parsing Automotive Handmade Frozen Shirt;CSS input Down-sized;Tenge generating compress;Soap zero tolerance;2021-07-21T13:05:51;cohesive;2021-07-21T17:16:13;protocol Missouri;2021-07-22;bus Designer eco-centric;8
9;multi-byte Future withdrawal;71834;transmitter;grid-enabled monitor Usability;Bike interface;innovate payment system-worthy;indexing;2021-07-21T17:02:41;Unbranded Frozen Honduras;2021-07-22T03:11:17;PCI Squares;2021-07-21;Triple-buffered Shoes;9
10;Naira Auto Loan Account deposit;59505;Bacon;Refined Granite Hat intermediate viral;scalable sky blue;COM;Berkshire Balboa US Dollar Corporate;2021-07-21T19:10:36;local area network;2021-07-22T02:13:50;overriding;2021-07-21;copy;10
