id;requisition_no;created_on;created_by;updated_on;updated_by;status;progress_stage;financial_year;type;total_price;notes;due_date
1;Small;2021-07-21T12:09:19;application;2021-07-22T04:46:42;Avon UIC-Franc Regional;Games;Handmade copying;5673;haptic;94906;feed Forward;2021-07-22
2;programming Total user-centric;2021-07-22T03:38:47;ADP workforce;2021-07-21T20:01:59;neural-net benchmark;Baby blue;Handmade Metal Bacon Beauty;72936;quantifying;26848;even-keeled;2021-07-21
3;Washington calculate;2021-07-21T21:32:18;24/7 monitor;2021-07-21T22:01:22;Haiti Sausages multi-byte;indigo Developer Rhode Island;Gorgeous Concrete Car Administrator Brand;60929;CSS vortals;3685;Pa'anga matrix;2021-07-22
4;Specialist;2021-07-21T05:45:02;Pine;2021-07-21T23:44:06;navigate Functionality;Texas Switzerland;extranet;22541;Distributed;46386;Accounts;2021-07-21
5;Refined Metal Pizza Savings Account;2021-07-22T02:42:04;Metal;2021-07-21T12:25:43;Chile;Practical Serbian Dinar Fort;Connecticut;31204;Locks Ergonomic;46663;Borders Refined;2021-07-21
6;Auto Loan Account Functionality;2021-07-21T11:26:07;Sausages dynamic;2021-07-21T20:31:28;mobile violet Avon;technologies;parse;84106;Wall;80216;Optimization;2021-07-21
7;Metrics Manager;2021-07-21T21:59:03;infomediaries;2021-07-22T02:56:40;synthesizing;grid-enabled withdrawal Tunnel;tangible;80220;open system Fish;59493;Gambia Borders Metal;2021-07-21
8;invoice attitude-oriented Garden;2021-07-22T03:43:18;system-worthy;2021-07-22T00:04:42;Handcrafted contextually-based Naira;open-source;fuchsia customized Wooden;77679;Cape Verde Escudo ubiquitous;30236;Corporate Bedfordshire;2021-07-21
9;synthesizing harness;2021-07-21T11:00:12;transmitting;2021-07-21T17:51:33;Underpass Executive;human-resource;Implemented;22711;markets reintermediate solid state;86361;human-resource Frozen payment;2021-07-22
10;Investor synthesize;2021-07-21T08:36:22;website green optical;2021-07-21T08:03:13;Home Handmade Plastic Pants e-commerce;proactive overriding;card;62321;open-source Gorgeous Steel Hat lime;13957;Home Accounts;2021-07-21
