id;po_no;status;created_on;created_by;updated_on;updated_by;due_date;terms_and_conditions;notes;requisition_id
1;invoice;Web reboot;2021-07-22T01:36:24;reciprocal;2021-07-21T09:12:47;object-oriented;2021-07-21;West Virginia Handcrafted;payment;1
2;parsing Lead;panel HDD;2021-07-21T15:15:12;neural International;2021-07-21T21:00:21;Frozen Guadeloupe backing up;2021-07-21;Awesome Soft Bike redundant deposit;Tools Regional matrix;2
3;Implementation Borders;calculate tangible motivating;2021-07-21T09:10:56;IB;2021-07-21T20:36:13;Granite;2021-07-21;groupware;South Dakota connect Berkshire;3
4;alarm dedicated;Towels transition Practical;2021-07-21T23:58:45;ability Developer hierarchy;2021-07-21T06:34:02;Global;2021-07-21;Awesome Soft Chips cyan solid state;Markets;4
5;User-centric navigating SAS;Clothing Implemented;2021-07-21T07:25:12;Towels redefine Garden;2021-07-21T12:09:34;Cliffs Money Market Account;2021-07-21;Tasty Checking Account Samoa;Falls parse bypass;5
6;Illinois;real-time Buckinghamshire Credit Card Account;2021-07-21T20:28:50;Chief;2021-07-22T00:18:53;copying bypassing;2021-07-21;Berkshire;Cuban Peso Peso Convertible Dale;6
7;Tuna;transition Fish Refined Steel Shirt;2021-07-21T06:13:10;copying Assistant Credit Card Account;2021-07-21T22:52:05;24/7;2021-07-21;CSS index;generate;7
8;SSL;transmitting local Bedfordshire;2021-07-21T08:54:44;internet solution;2021-07-21T14:23:12;payment Pizza Coordinator;2021-07-22;Kwanza Sausages bandwidth;Awesome input copy;8
9;Refined;Developer;2021-07-21T20:37:53;executive Rubber;2021-07-21T21:28:55;system;2021-07-21;Rubber;infrastructure;9
10;Concrete Berkshire Libyan Dinar;SQL;2021-07-22T02:43:40;transmitting Ville;2021-07-22T03:36:55;Credit Card Account Kip;2021-07-21;pixel Granite mobile;deposit;10
